w,omega_rip_0,chi2
0.5,0.64,1059.535073052467
0.5,0.65,1051.9874955175633
0.5,0.66,1044.5490318998623
0.5,0.67,1037.21801702526
0.5,0.68,1029.9928276469893
0.5,0.6900000000000001,1022.8718809823733
0.5,0.7000000000000001,1015.853633314596
0.5,0.7100000000000001,1008.9365786559824
0.5,0.7200000000000001,1002.1192474695189
0.55,0.64,1059.7771470298426
0.55,0.65,1052.2297968059065
0.55,0.66,1044.7915064761253
0.55,0.67,1037.4606119608184
0.55,0.68,1030.2354910733525
0.55,0.6900000000000001,1023.1145620583338
0.55,0.7000000000000001,1016.0962821947255
0.55,0.7100000000000001,1009.1791464604186
0.55,0.7200000000000001,1002.3616862549704
0.6000000000000001,0.64,1060.0192128714905
0.6000000000000001,0.65,1052.472091596215
0.6000000000000001,0.66,1045.0339762098424
0.6000000000000001,0.67,1037.70320372662
0.6000000000000001,0.68,1030.4781530195803
0.6000000000000001,0.6900000000000001,1023.3572433601555
0.6000000000000001,0.7000000000000001,1016.3389330226555
0.6000000000000001,0.7100000000000001,1009.4217179501178
0.6000000000000001,0.7200000000000001,1002.6041304782702
0.6500000000000001,0.64,1060.2612705255754
0.6500000000000001,0.65,1052.7143798352608
0.6500000000000001,0.66,1045.2764410463888
0.6500000000000001,0.67,1037.9457922666452
0.6500000000000001,0.68,1030.7208134282544
0.6500000000000001,0.6900000000000001,1023.5999248290223
0.6500000000000001,0.7000000000000001,1016.581585738169
0.6500000000000001,0.7100000000000001,1009.6642930634616
0.6500000000000001,0.7200000000000001,1002.8465800763968
0.7000000000000002,0.64,1060.5033199403067
0.7000000000000002,0.65,1052.95666146986
0.7000000000000002,0.66,1045.5189009311882
0.7000000000000002,0.67,1038.1883775249212
0.7000000000000002,0.68,1030.9634722420037
0.7000000000000002,0.6900000000000001,1023.8426064061648
0.7000000000000002,0.7000000000000001,1016.8242402810977
0.7000000000000002,0.7100000000000001,1009.9068717388818
0.7000000000000002,0.7200000000000001,1003.0890349863796
0.7500000000000002,0.64,1060.7453610639382
0.7500000000000002,0.65,1053.1989364468739
0.7500000000000002,0.66,1045.7613558097073
0.7500000000000002,0.67,1038.4309594455208
0.7500000000000002,0.68,1031.2061294035068
0.7500000000000002,0.6900000000000001,1024.085288032863
0.7500000000000002,0.7000000000000001,1017.0668965913226
0.7500000000000002,0.7100000000000001,1010.1494539148589
0.7500000000000002,0.7200000000000001,1003.3314951452991
0.8000000000000003,0.64,1060.9873938447665
0.8000000000000003,0.65,1053.4412047132098
0.8000000000000003,0.66,1046.0038056274605
0.8000000000000003,0.67,1038.6735379725637
0.8000000000000003,0.68,1031.4487848554875
0.8000000000000003,0.6900000000000001,1024.3279696504446
0.8000000000000003,0.7000000000000001,1017.3095546087734
0.8000000000000003,0.7100000000000001,1010.3920395299228
0.8000000000000003,0.7200000000000001,1003.5739604902844
0.8500000000000003,0.64,1061.2294182311357
0.8500000000000003,0.65,1053.683466215819
0.8500000000000003,0.66,1046.246250330008
0.8500000000000003,0.67,1038.9161130502162
0.8500000000000003,0.68,1031.6914385407165
0.8500000000000003,0.6900000000000001,1024.5706512002841
0.8500000000000003,0.7000000000000001,1017.5522142734272
0.8500000000000003,0.7100000000000001,1010.6346285226537
0.8500000000000003,0.7200000000000001,1003.8164309585163
0.9000000000000004,0.64,1061.4714341714316
0.9000000000000004,0.65,1053.9257209016978
0.9000000000000004,0.66,1046.4886898629538
0.9000000000000004,0.67,1039.1586846226905
0.9000000000000004,0.68,1031.934090402013
0.9000000000000004,0.6900000000000001,1024.8133326238055
0.9000000000000004,0.7000000000000001,1017.7948755253122
0.9000000000000004,0.7100000000000001,1010.8772208316802
0.9000000000000004,0.7200000000000001,1004.0589064872247
0.9500000000000004,0.64,1061.7134416140839
0.9500000000000004,0.65,1054.167968717888
0.9500000000000004,0.66,1046.73112417195
0.9500000000000004,0.67,1039.4012526342458
0.9500000000000004,0.68,1032.1767403822423
0.9500000000000004,0.6900000000000001,1025.0560138624794
0.9500000000000004,0.7000000000000001,1018.0375383045027
0.9500000000000004,0.7100000000000001,1011.119816395681
0.9500000000000004,0.7200000000000001,1004.3013870136895
1.0000000000000004,0.64,1061.9554405075687
1.0000000000000004,0.65,1054.4102096114757
1.0000000000000004,0.66,1046.973553202693
1.0000000000000004,0.67,1039.6438170291883
1.0000000000000004,0.68,1032.4193884243177
1.0000000000000004,0.6900000000000001,1025.2986948578257
1.0000000000000004,0.7000000000000001,1018.2802025511228
1.0000000000000004,0.7100000000000001,1011.3624151533841
1.0000000000000004,0.7200000000000001,1004.543872475242
